the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-73.03799053121031 5.7828103773989605),ADTG0003,111,ALTO CHICAMOCHA,15,BOYACÁ,,PAIPA,,,,,,,,,,,,,,,,,,,,,,
POINT (-72.48178460526132 6.411113634282308),ADTP0113,112,PANQUEBA,15,BOYACÁ,15522,PANQUEBA,SIN INFORMACIÓN,216,0,Pequeña,0,Riego y Drenaje,SIN INFORMACIÓN,NO,148,ASOCIACION DE USUARIOS,ASOARRAYANAL,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-73.54067492154991 5.573794161986538),ADTP0117,113,SANTA BARBARA,15,BOYACÁ,15638,SÁCHICA,SANTA BARBARA,35,0,Pequeña,1400,Riego y Drenaje,SIN INFORMACIÓN,NO,23,ASOCIACION DE USUARIOS,AGASABARBOY,SIN INFORMACIÓN,Hortalizas,,,,,,,,,
POINT (-73.5295084102554 5.469955450416509),ADTM0004,114,SAMACA,15,BOYACÁ,15646,SAMACÁ,SALAMANCA,,,,,,,,,,,,,,,,,,,,,
POINT (-73.49847881092067 5.495477268204671),ADTM0005,115,SAMACA,15,BOYACÁ,15646,SAMACÁ,PARAMO CENTRO,,,,,,,,,,,,,,,,,,,,,
POINT (-73.09963414841499 5.211643350650388),ADTP0118,116,SAN EDUARDO,15,BOYACÁ,15660,SAN EDUARDO,SAN PABLO,,,,,,,,,,,,,,,,,,,,,
POINT (-72.57827154585432 6.361506589700158),ADTP0119,117,ANTIGUO ACUEDUCTO,15,BOYACÁ,15673,SAN MATEO,NARANJAL,108,0,Pequeña,2300,Riego y Drenaje,SIN INFORMACIÓN,NO,132,ASOCIACION DE USUARIOS,ASOANACUEDUCTO,SIN INFORMACIÓN,Pastos,,,,,,,,,
POINT (-72.57423236301531 6.404851616363344),ADTP0120,118,GUAYABAL,15,BOYACÁ,15673,SAN MATEO,GUAYABAL,,,,,,,,,,,,,,,,,,,,,
POINT (-73.75745088390651 5.526620927608733),ADTM0006,119,DRENAJE Y ADECUACION VEREDA SIRIGAY - QUINTOQUI ASOSIRTOQUE,15,BOYACÁ,15676,SAN MIGUEL DE SEMA,SIN INFORMACIÓN,1024,0,Mediana,0,Riego y Drenaje,AOM,SI,147,SIN INFORMACIÓN,ASOSIRTOQUE,SIN INFORMACIÓN,SIN INFORMACIÓN,CAR,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,73° 45.249' W,5° 31.830' N,Río Suárez,2401
POINT (-72.98802038608103 5.89259117963382),ADTP0121,120,EL CUCUBO,15,BOYACÁ,15693,SANTA ROSA DE VITERBO,SIN INFORMACIÓN,31,0,Pequeña,0,Riego y Drenaje,AOM,SI,15,SIN INFORMACIÓN,ASOELCUCUBO,299 del 12/06/2001,SIN INFORMACIÓN,CORPOBOYACA,SIN INFORMACIÓN,NO,NO,PROYECTAMOS,72° 59.281' W,5° 53.556' N,Río Chicamocha,2403
