Ciclo,Departamento,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,La guajira,Ají,Cosechas,2022,9.52,1.59,1.29,0,2.71,5.91,12.63,12.28,1.98,4.47,23.11,24.52
Transitorio,Magdalena,Ají,Cosechas,2022,0,0,0,0.12,38.53,18.62,0,0,0,27.96,14.77,0
Transitorio,Norte de Santander,Ají,Cosechas,2022,8.41,4.08,2.27,0.79,6.89,6.89,13.79,10.34,13.79,6.89,15.51,10.34
Transitorio,Santander,Ají,Cosechas,2022,41.08,19.95,11.07,3.85,0,0,10.82,8.42,4.81,0,0,0
Transitorio,Sucre,Ají,Cosechas,2022,0,0,0,0,0,0,0,46.3,48.1,2.24,1.71,1.65
Transitorio,Tolima,Ají,Cosechas,2022,3.75,1.07,3.16,3.82,14.64,12.9,8.03,10.45,5.26,17.29,12.84,6.8
Transitorio,Valle del Cauca,Ají,Cosechas,2022,11.84,1.5,0.75,2.65,5.27,20.79,16.92,22.43,12.62,3.15,1.57,0.51
Transitorio,Amazonas,Ají,Cosechas,2022,0,27.78,0,0,27.78,0,0,0,27.78,16.67,0,0
Transitorio,Guainía,Ají,Cosechas,2022,3.75,1.07,3.16,3.82,14.64,12.9,8.03,10.45,5.26,17.29,12.84,6.8
Transitorio,Vaupés,Ají,Cosechas,2022,0,0,0,0,100,0,0,0,0,0,0,0
Transitorio,Vichada,Ají,Cosechas,2022,3.75,1.07,3.16,3.82,14.64,12.9,8.03,10.45,5.26,17.29,12.84,6.8
Transitorio,Antioquia,Ají,Siembras,2022,0,0,45.19,21.83,7.89,7.89,0,1.72,8.6,6.88,0,0
Transitorio,Atlántico,Ají,Siembras,2022,1.54,4.34,4.13,26.45,35.13,6.76,0.91,2.35,3.19,13.52,1.15,0.54
Transitorio,Bolívar,Ají,Siembras,2022,3.33,6.76,18.06,26.32,25.53,13.84,1.53,1.53,1.56,1.55,0,0
Transitorio,Boyacá,Ají,Siembras,2022,80,20,0,0,0,0,0,0,0,0,0,0
Transitorio,Caquetá,Ají,Siembras,2022,3.53,16.67,14.82,11.06,9.36,3.81,17.05,10.38,6.53,4.66,1.65,0.5
Transitorio,Cauca,Ají,Siembras,2022,3.53,16.67,14.82,11.06,9.36,3.81,17.05,10.38,6.53,4.66,1.65,0.5
Transitorio,Cesar,Ají,Siembras,2022,0,0,24.77,23.86,0.91,0,32.98,16.81,0.67,0,0,0
Transitorio,Córdoba,Ají,Siembras,2022,0,0,0.16,26.02,25.26,9.07,0.74,0.45,0.42,19.16,15.07,3.66
Transitorio,Chocó,Ají,Siembras,2022,0,0,0,0,0,0,30,30,20,20,0,0
Transitorio,La guajira,Ají,Siembras,2022,0.28,1.71,5.85,18.38,11.1,0.74,4.61,18.59,31.98,5.36,1.37,0.01
Transitorio,Magdalena,Ají,Siembras,2022,0,36.71,19.41,0.11,0,0,30.75,13.02,0,0,0,0
Transitorio,Norte de Santander,Ají,Siembras,2022,4,4,8,8,8,8,3,6,24,12,9,6
Transitorio,Santander,Ají,Siembras,2022,0,0,0,100,0,0,0,0,0,0,0,0
Transitorio,Sucre,Ají,Siembras,2022,0,0,0,40.16,57.02,2.83,0,0,0,0,0,0
Transitorio,Tolima,Ají,Siembras,2022,3.53,16.67,14.82,11.06,9.36,3.81,17.05,10.38,6.53,4.66,1.65,0.5
Transitorio,Valle del Cauca,Ají,Siembras,2022,4.69,13.46,30.28,24.34,25.22,2.01,0,0,0,0,0,0
Transitorio,Amazonas,Ají,Siembras,2022,30,0,0,0,0,30,20,0,0,20,0,0
Transitorio,Guainía,Ají,Siembras,2022,3.53,16.67,14.82,11.06,9.36,3.81,17.05,10.38,6.53,4.66,1.65,0.5
Transitorio,Vaupés,Ají,Siembras,2022,0,100,0,0,0,0,0,0,0,0,0,0
Transitorio,Vichada,Ají,Siembras,2022,3.53,16.67,14.82,11.06,9.36,3.81,17.05,10.38,6.53,4.66,1.65,0.5
Transitorio,Antioquia,Ajo,Cosechas,2022,8.73,9.82,8.73,0,0,13.09,11.64,11.64,11.64,11.64,13.09,0
Transitorio,Boyacá,Ajo,Cosechas,2022,9.84,9.84,9.84,3.28,0,1.84,26.38,3.67,25.46,2.76,5.51,1.58
Transitorio,Cauca,Ajo,Cosechas,2022,0,0,25,25,0,0,0,0,0,0,0,50
Transitorio,Cundinamarca,Ajo,Cosechas,2022,0,0,11.91,0,0,0,0,0,14.88,14.88,40.83,17.5
Transitorio,Nariño,Ajo,Cosechas,2022,13.2,5.23,7.84,13.07,10.17,5.09,5.94,11.1,20.52,0.16,6.37,1.3
Transitorio,Norte de Santander,Ajo,Cosechas,2022,9.97,9.97,8.84,5.76,5.76,6.85,9.03,10.44,10.24,1.64,9.52,11.98
Transitorio,Santander,Ajo,Cosechas,2022,0.24,8.72,8.72,21.81,0,0,5.61,44.91,5.61,0,0,4.36
Transitorio,Antioquia,Ajo,Siembras,2022,9,8,8,8,8,9,9,8,8,8,9,8
Transitorio,Boyacá,Ajo,Siembras,2022,0.74,1.48,2.22,22.22,3.7,21.48,2.22,1.67,2.22,39.26,1.67,1.11
Transitorio,Cauca,Ajo,Siembras,2022,0,0,0,0,0,50,0,0,25,25,0,0
Transitorio,Cundinamarca,Ajo,Siembras,2022,0,0,0,0,16.89,16.89,46.35,19.86,0,0,0,0
Transitorio,Nariño,Ajo,Siembras,2022,11.14,6.88,9.37,4.74,18.29,0.07,7.83,3.71,8.61,16.8,8.34,4.22
Transitorio,Norte de Santander,Ajo,Siembras,2022,7.31,8.09,10.43,10.43,8.48,10.3,7.46,9.54,8.25,7.46,6.17,6.09
Transitorio,Santander,Ajo,Siembras,2022,0,5.79,46.31,5.79,0,0,4.21,0,8.42,8.42,21.06,0
Transitorio,Bolívar,Ajonjolí,Cosechas,2022,15.46,0.21,0,0,0,0,0,2.66,2.66,0,30.73,48.29
Transitorio,Córdoba,Ajonjolí,Cosechas,2022,43.42,6.69,0,0,0,0,12.59,18.17,15.03,0,0.68,3.41
Transitorio,Magdalena,Ajonjolí,Cosechas,2022,0,0,0,0,12,8,0,0,0,0,51.99,28
Transitorio,Sucre,Ajonjolí,Cosechas,2022,18.46,3.51,0.32,0,0,0,0,0,0,0,7.66,70.05
Transitorio,Tolima,Ajonjolí,Cosechas,2022,17.52,14.01,0,0,0,16.72,16.72,17.52,17.52,0,0,0
Transitorio,Bolívar,Ajonjolí,Siembras,2022,0,0,0,2.92,2.92,0,42.12,48,3.93,0.11,0,0
Transitorio,Córdoba,Ajonjolí,Siembras,2022,0,0,0,25.69,19.81,0,0,0,0.39,32.31,21.8,0
Transitorio,Magdalena,Ajonjolí,Siembras,2022,0,12,8,0,0,0,52,28,0,0,0,0
Transitorio,Sucre,Ajonjolí,Siembras,2022,0,0,0,0,0,0,0,28.44,46.41,16.46,8.7,0
Transitorio,Tolima,Ajonjolí,Siembras,2022,0,0,6.35,25,18.65,0,0,0,17.54,21.27,11.19,0
Permanente,Cundinamarca,Albahaca,Cosechas,2022,0,0,0,2.46,42.36,14.12,1.84,2.46,4.3,6.75,9.48,16.23
Permanente,Nariño,Albahaca,Cosechas,2022,5.01,0,0,10.53,10.53,10.53,10.53,10.53,10.78,9.47,12.63,9.47
Permanente,Cundinamarca,Albahaca,Siembras,2022,1.51,27.93,8.68,1.13,1.51,4.53,13.94,4.53,9.06,11.32,6.79,9.06
Permanente,Nariño,Albahaca,Siembras,2022,13.58,13.58,13.58,13.58,13.58,13.91,5.46,7.27,5.46,0,0,0
Transitorio,Cesar,Algodón,Cosechas,2022,61.22,36.63,0,0,0,0,0,0,0,0,0,2.15
Transitorio,Córdoba,Algodón,Cosechas,2022,37.33,45.78,16.9,0,0,0,0,0,0,0,0,0
Transitorio,Huila,Algodón,Cosechas,2022,0,0,0,0,0,0,50,50,0,0,0,0
Transitorio,La guajira,Algodón,Cosechas,2022,0,48.54,35.17,0,0,0,0,0,0,0,0,16.29
